Date,Longitude,Latitude,Depth,Type,Magnitude,Location,EventID,TimeName,TypeName,MagnitudeName
"27/11/2013 05:13:37",27.9051,40.8338,18.83,"Mw",4.5,"Marmara Denizi - [15.32 km] Marmaraereğlisi (Tekirdağ)",209624,"AFAD","AFAD","AFAD"
"29/08/2013 08:20:34",27.459,40.3493,26.15,"Ml",4.3,"Marmara Denizi - Erdek Körfezi - [07.11 km] Biga (Çanakkale)",203236,"AFAD","AFAD","AFAD"
"17/08/2013 20:16:31",29.1193,40.4132,14.34,"Ml",4.5,"Gemlik (Bursa)",202367,"AFAD","AFAD","AFAD"
"07/07/2012 09:07:45",30.4077,40.7608,7.06,"Ml",4,"-",14607,"AFAD-DDA","AFAD-DDA","AFAD-DDA"
"07/06/2012 22:54:25",27.9235,40.854,14.9,"Mw",5,"-",14570,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"04/05/2012 07:38:14",27.018,40.3278,23.85,"Ml",4.2,"-",14538,"AFAD-DDA","AFAD-DDA","AFAD-DDA"
"16/08/2011 19:30:07",28.89,40.44,5,"Ml",4,"-",14127,"KRDEA-ISK","KRDEA-ISK","KRDEA-ISK"
"25/07/2011 19:57:20",27.7498,40.8195,6.97,"Mw",5.1,"-",14115,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"09/03/2011 08:04:04",28.06,40.43,9,"Ml",4,"-",14014,"KRDEA-ISK","KRDEA-ISK","KRDEA-ISK"
"20/01/2011 03:09:37",29.76,40.71,10,"Ml",4.1,"-",13981,"KRDEA-ISK","KRDEA-ISK","KRDEA-ISK"
"31/12/2010 21:57:37",27.34,40.58,16,"Ml",4,"-",13973,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"03/10/2010 19:49:03",28.176,40.8323,3.2,"mb",4.4,"-",13923,"NEIC","NEIC","NEIC"
"11/06/2010 12:56:45",28.9573,40.4264,12.9,"mb",4.2,"-",13858,"MOS","MOS","MOS"
"15/05/2010 16:08:22",30.13,41.2,5,"Ml",4.3,"-",13844,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"08/08/2009 15:52:39",27.4303,40.3505,13.2,"mb",4.2,"-",13638,"ISC","ISC","ISC"
"01/08/2009 18:42:39",28.28,40.37,10,"Ml",4.3,"-",13635,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"27/04/2009 21:03:07",27.5233,40.7405,28.8,"Md",4.2,"-",13527,"AFAD-DDA","AFAD-DDA","AFAD-DDA"
"24/01/2009 16:58:39",27.78,40.8008,12,"mb",4,"-",13480,"ISC","ISC","ISC"
"05/10/2008 08:04:04",29.0142,40.6103,23.68,"Ml",4.2,"-",18444,"AFAD-DDA","AFAD-DDA","AFAD-DDA"
"15/07/2008 11:19:49",27.44,40.37,12,"Ml",4.1,"-",18377,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"19/05/2008 12:18:16",27.8,40.5,10,"Ml",4,"-",18333,"ATH","ATH","ATH"
"12/05/2008 17:11:26",27.3714,40.6369,11.2,"Ml",4.5,"-",18331,"THE","THE","THE"
"12/03/2008 19:53:32",28.9981,40.638,12,"mb",4.2,"-",16405,"ISC","ISC","ISC"
"28/01/2007 19:06:59",28.3862,40.5924,10,"Ml",4,"-",16076,"THE","THE","THE"
"19/12/2006 20:15:38",28.3113,40.3855,10,"Md",4,"-",16042,"ATH","ATH","ATH"
"25/10/2006 13:56:05",29.0075,40.4686,9.5,"mb",4,"-",16006,"MOS","MOS","MOS"
"24/10/2006 16:00:22",29.079,40.443,15.5,"Mw",5,"-",16005,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"08/02/2006 05:07:42",30.402,40.731,13.7,"mb",4.3,"-",15823,"ISC","ISC","ISC"
"04/11/2005 21:12:09",27.3,40.68,13,"mb",4.1,"-",15755,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"29/09/2004 17:42:08",28.999,40.7907,13.9,"Ml",4.3,"-",15408,"THE","THE","THE"
"11/07/2004 22:44:28",27.1943,40.5382,21.1,"Ml",4.1,"-",15336,"THE","THE","THE"
"16/05/2004 05:30:49",29.338,40.727,8.8,"mb",4.4,"-",15304,"ISC","ISC","ISC"
"19/04/2004 17:27:17",27.6444,40.6599,25,"Ml",4.3,"-",15290,"ATH","ATH","ATH"
"13/07/2003 07:09:49",27.434,40.8018,14,"mb",4.1,"-",15148,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"05/05/2002 11:22:10",28.304,40.545,8,"mb",4,"-",14853,"MOS","MOS","MOS"
"23/03/2002 03:36:10",27.83,40.863,7,"mb",4,"-",14812,"ISC","ISC","ISC"
"28/02/2002 09:37:52",28.14,40.802,11.5,"mb",4.1,"-",14793,"ISC","ISC","ISC"
